Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
412,Albemarle,ALB,Chemicals,Chemicals,yes,no,no,yes,81,no,no,no,9000,15482.7,"$9,617 ",31.4,1573.5,-41.5,18270.7,J. Kent Masters,U.S.,Charlotte,North Carolina,Public
413,JetBlue Airways,JBLU,Transportation,Airlines,no,no,yes,yes,4,no,no,no,21310,2523.8,"$9,615,000 ",5,-310,,13853,Joanna  Geraghty,U.S.,Long Island City,New York,Public
414,Seaboard,SEB,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,-50,no,no,no,12847,3130.6,"$9,562,000 ",-15,226,-61,7566,Robert L. Steer,U.S.,Merriam,Kansas,Public
415,Constellation Brands,STZ,"Food, Beverages & Tobacco",Beverages,no,no,no,no,15,no,no,no,9400,49683.2,"$9,453 ",7.2,-71,,24662.3,William A. Newlands,U.S.,Victor,New York,Public
416,Graphic Packaging Holding,GPK,Materials,"Packaging, Containers",yes,no,no,no,-7,no,yes,no,23500,8930.6,"$9,428,000 ",-0.1,723,38.5,11175,Michael P. Doss,U.S.,Atlanta,Georgia,Public
417,Hertz Global Holdings,HTZ,Retailing,"Automotive Retailing, Services",yes,no,no,yes,18,no,no,no,27000,2390.5,"$9,371,000 ",7.9,616,-70.1,24605,Gil  West,U.S.,Estero,Florida,Public
418,FM Global,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,290,no,no,no,5667,,"$9,359,000 ",113.1,3748.5,,34479,Malcolm C. Roberts,U.S.,Johnston,Rhode Island,Private
419,Campbell Soup,CPB,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,23,no,no,no,14500,13250.7,"$9,357,000 ",9.3,858,13.3,12058,Mark A. Clouse,U.S.,Camden,New Jersey,Public
420,Expeditors Intl. of Washington,EXPD,Transportation,Transportation and Logistics,yes,no,no,no,-175,no,no,no,18452,17248.7,"$9,300 ",-45.5,752.9,-44.5,4523.8,Jeffrey S. Musser,U.S.,Seattle,Washington,Public
421,A-Mark Precious Metals,AMRK,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,37,no,no,no,421,701.4,"$9,287 ",13.8,156.4,18,1545.6,Gregory N. Roberts,U.S.,El Segundo,California,Public
422,Booz Allen Hamilton Holding,BAH,Technology,Information Technology Services,yes,no,no,yes,30,no,yes,no,31900,19259.5,"$9,259 ",10.7,271.8,-41.8,6550.7,Horacio D. Rozanski,U.S.,McLean,Virginia,Public
